ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
EURUSD=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00038608850605674374,-0.011793766464913702,-0.00018214605811722872,20,44,20
GBPUSD=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0003446688960398281,-0.009458598483467195,-0.0005938321855652323,20,44,20
GC=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0008964521442279697,-0.0038542339768712353,-0.0005904256076224079,20,43,20
GLD,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.000838600463167071,0.0058275813833099654,-0.0006735434834106857,20,43,20
GOOG,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.006808289990356891,0.08523501890926966,0.002184802219046579,20,43,20
HDFCBANK.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0030819976859170787,-0.04488873684276884,-0.0009125835203370556,20,43,20
HINDUNILVR.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.002260161905054728,-0.003157797589233624,-0.0012817949961067337,20,43,20
ICICIBANK.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0032836971550851955,0.014171063974365516,0.0011202408845984609,20,43,20
INFY.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00012985145845482502,0.12348660514493703,0.0030694368152981454,20,43,20
ITC.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0013189246280546998,-0.03856401578109658,-0.0008270176356703112,20,43,20
JNJ,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.001117541418811245,-0.014040833649306417,0.0006341869745606801,20,43,20
JPM,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.001234594637608881,-0.01003485324746689,-0.002264851118476675,20,43,20
KO,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.001072805371065285,-0.009997798744818098,0.0013991278592156314,20,43,20
LT.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0014613150478134773,0.00014477020180203581,0.0038450866830147604,20,43,20
MA,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.002792438491298355,-0.06839477785299486,-0.0018895296433726143,20,43,20
MARUTI.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0007341787071827195,-0.04776888884989605,-0.0011423434606234856,20,43,20
META,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.006361299185488947,0.044326198548997775,-0.0026171029993605874,20,43,20
MSFT,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.00023227294545081985,0.018352608165297157,0.00531150473249702,20,43,20
NFLX,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0017617303252027022,-0.004822362553832504,-0.001622917666352954,20,43,20
NG=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0012046269930775402,0.2661430522065873,0.0064574853018210445,20,43,20
NVDA,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.004539150477991502,0.3936529687814554,-0.0013443403403348593,20,43,20
NZDUSD=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00035545611600244385,-0.027319843478954664,-0.0007234545131830399,20,44,20
