ticker,status,rows,n_trades,win_rate,avg_trade,median_trade,avg_hold_bars,total_return,cagr,ann_ret,ann_vol,sharpe,bootstrap_pval,max_drawdown
MSFT,ok,1980.0,1617.0,0.5163883735312307,-5.495605977369786e-05,0.00026403712548406233,1.0,-0.33072514813558174,(-0.0498236645393888+0j),-0.01504555179000191,0.2657446085641543,-0.05661658338543381,0.8635,-0.7388074054311999
RELIANCE.NS,ok,1945.0,1638.0,0.5067155067155067,0.00012280153977528718,2.2868032829470586e-05,1.0,-0.3514962192369455,(-0.05456685393131988+0j),0.02337370727976795,0.3773062381480909,0.0619489022882094,0.8565,-0.7273126710120088
USDCAD=X,ok,2052.0,1869.0,0.48582129481005887,-0.0002458252786174816,-2.5240431517636885e-05,1.0,-0.39149707093869424,(-0.05918129714211173+0j),-0.057300202631152965,0.08567084340430464,-0.6688413508518564,0.4885,-0.3946665489953977
BHARTIARTL.NS,ok,1945.0,1587.0,0.48897290485192185,-7.252504292862835e-05,-6.099803007653115e-05,1.0,-0.38669077695866116,(-0.06137715047791359+0j),-0.018625152871898788,0.2956629358189716,-0.06299454755905756,0.8715,-0.7479176819782101
KO,ok,1980.0,1733.0,0.500865551067513,-0.00018676840251436204,1.5995278426217396e-05,1.0,-0.3986753768022747,(-0.06268277423137225+0j),-0.04299437116247886,0.2082959644580585,-0.20641000546669738,0.622,-0.6007515058347349
META,ok,1980.0,1594.0,0.4887076537013802,0.00018660845824438116,-0.0001071711291116828,1.0,-0.40732611097614924,(-0.06440983775092712+0j),0.03403533847324989,0.4461936371740492,0.07627930037015193,0.828,-0.7838740205589666
TCS.NS,ok,1945.0,1634.0,0.49265605875153,-0.00018517316041817412,-3.51770504192217e-05,1.0,-0.4363424502426152,(-0.07158787543127754+0j),-0.042045493255765044,0.25078825235213137,-0.16765336040034698,0.675,-0.556226244688796
INFY.NS,ok,1945.0,1632.0,0.4877450980392157,-0.00014770350101950345,-9.682103024843958e-05,1.0,-0.4567702762633984,(-0.07601765028732066+0j),-0.03396889086119136,0.2907134384362179,-0.11684664817668582,0.738,-0.6566144535806515
AUDUSD=X,ok,2052.0,1844.0,0.47559652928416485,-0.00031564226302797997,-8.362141127699063e-05,1.0,-0.4770565800090175,(-0.07652687358632926+0j),-0.07251086843090407,0.11832741384274366,-0.6127985567847407,0.494,-0.5342583617451491
ZC=F,ok,1979.0,1663.0,0.4846662657847264,-0.0002402248179375108,-5.5705829878571755e-05,1.0,-0.4895043755747919,(-0.08205519361247526+0j),-0.05362152675561477,0.25107137126668333,-0.21357085232413447,0.6435,-0.6989892571228931
AMZN,ok,1980.0,1611.0,0.4965859714463066,-0.00016007109206136062,-5.1004856652436814e-05,1.0,-0.5030988852285211,(-0.08516356915470868+0j),-0.03637463835084582,0.32090096956703107,-0.11335160002764573,0.745,-0.6431675714268494
HINDUNILVR.NS,ok,1945.0,1647.0,0.47965998785670916,-0.0003257457152912401,-0.00013595395653676068,1.0,-0.5191247518221793,(-0.09049901739596156+0j),-0.07200089056233248,0.2117322181533924,-0.34005637493567664,0.497,-0.7144502820985192
XOM,ok,1980.0,1645.0,0.513677811550152,3.3423035399014523e-06,9.651735793370086e-05,1.0,-0.5398220703892596,(-0.09405956200479126+0j),-0.0023649003955063196,0.4218475624040379,-0.005606054428830055,0.987,-0.8261610639443138
GOOG,ok,1980.0,1628.0,0.5214987714987716,-0.00024138318925394633,0.00033488247312141173,1.0,-0.5554655739292331,(-0.09803858354939476+0j),-0.05356467180102222,0.311336656678815,-0.1720474304966963,0.6775,-0.7932371903528151
DIS,ok,1980.0,1656.0,0.4897342995169082,-9.184105459967159e-05,-3.925109997149345e-05,1.0,-0.6101761086681288,(-0.11298959947246467+0j),-0.02233812459140654,0.41933776429453806,-0.05327000450099337,0.881,-0.7399066165242122
SI=F,ok,1981.0,1644.0,0.5127737226277372,-0.00026811719234665424,8.242077452791374e-05,1.0,-0.6337720991956083,(-0.11995377984071587+0j),-0.05917476132865046,0.3605730830284743,-0.1641130858455606,0.6755,-0.8014032374970421
AXISBANK.NS,ok,1945.0,1623.0,0.5009242144177449,0.00029350477652744466,1.0171236563660813e-05,1.0,-0.6286784820922628,(-0.12046010745583868+0j),0.05871376493326788,0.5969845297355413,0.09835056355526925,0.79,-0.8811687594810983
BZ=F,ok,1983.0,1630.0,0.5049079754601227,0.00018499491800382927,5.315824666851654e-05,1.0,-0.6465763242264254,(-0.12381194565704845+0j),0.034957899488575674,0.5558750582349408,0.06288805185751059,0.863,-0.8465894181487306
MARUTI.NS,ok,1945.0,1630.0,0.49079754601226994,-0.00036564706523847687,-5.8425091740588186e-05,1.0,-0.6871610636927155,(-0.13977460776199568+0j),-0.08004006022117693,0.36151673826244896,-0.22140070361851558,0.6125,-0.8524757654949501
PG,ok,1980.0,1713.0,0.5078809106830122,-0.0005714790530315754,5.720404446774019e-05,1.0,-0.7011489861436602,(-0.1424890127280154+0j),-0.12664706634436154,0.22480163421506394,-0.5633725341302476,0.489,-0.8011603189831445
JNJ,ok,1980.0,1717.0,0.5032032615026208,-0.0006211712424400482,1.3303602998337993e-05,1.0,-0.7217071366657375,(-0.15023221392269137+0j),-0.13777485478327947,0.21905437643395215,-0.628952760616588,0.497,-0.8118834863585072
ICICIBANK.NS,ok,1945.0,1614.0,0.4919454770755886,-0.0002320903547573068,-5.5710134443109904e-05,1.0,-0.7158113386919739,(-0.15041338677215432+0j),-0.05187218435897938,0.46857842260530896,-0.11070118011531262,0.782,-0.8256225127801169
V,ok,1980.0,1666.0,0.5066026410564226,-0.0007167224371202261,5.550701600676167e-05,1.0,-0.7637596767029324,(-0.16776675941344688+0j),-0.15474511691333026,0.23743443836272013,-0.651738298708512,0.504,-0.786998335958095
NG=F,ok,1983.0,1514.0,0.4914134742404227,6.997985811263672e-05,-9.221580681545438e-05,1.0,-0.7753900170320429,(-0.17285911819171906+0j),0.008739232421157187,0.6383150122108234,0.013691096486809216,0.967,-0.9602976195967308
HDFCBANK.NS,ok,1945.0,1655.0,0.5027190332326285,-0.0006195858659963084,2.4436106550229653e-05,1.0,-0.8201842872363402,(-0.19933057081401329+0j),-0.1353693260392907,0.3948285313241809,-0.3428559875986858,0.528,-0.894490775999044
BAC,ok,1980.0,1654.0,0.5024183796856106,-0.000318468129039533,8.705906145489717e-05,1.0,-0.8264686072585485,(-0.1998091697310428+0j),-0.06982914859062962,0.47910268084235363,-0.14574985985855202,0.708,-0.8744801565751612
NFLX,ok,1980.0,1602.0,0.4918851435705368,-0.0006572783378525572,-9.517134845848929e-05,1.0,-0.8442749774547168,(-0.21075970321716964+0j),-0.13775016044783236,0.4402290154361778,-0.31290568231026267,0.545,-0.8610734151798046
MA,ok,1980.0,1658.0,0.5048250904704463,-0.0009372107589128739,4.126560764006193e-05,1.0,-0.8485569826221486,(-0.21355548672321711+0j),-0.20069526617188382,0.27559523796735264,-0.7282247242445402,0.5025,-0.8825855233131328
CVX,ok,1980.0,1668.0,0.49280575539568344,-0.0007267233941050527,-7.229863281627003e-05,1.0,-0.9722826724048625,(-0.36641524651769086+0j),-0.1575711388990157,0.5906107522971068,-0.2667935493659105,0.562,-0.972973369522849
CL=F,ok,1982.0,1083.0,0.494921514312096,6868083682873.272,-4.5789570555898607e-05,1.0,-1.0012308391272111,(-0.6069682567215652+0.1659097360840126j),928578556341813.1,4283142941997657.0,0.21679840456333785,0.595,-1.0367672226992763
SUGAR=F,missing,,,,,,,,,,,,,
CATTLE=F,missing,,,,,,,,,,,,,
